hour: 0, pv: 50030, uv: 1569
hour: 1, pv: 22761, uv: 811
hour: 2, pv: 11754, uv: 411
hour: 3, pv: 6173, uv: 255
hour: 4, pv: 5168, uv: 211
hour: 5, pv: 6417, uv: 264
hour: 6, pv: 12820, uv: 679
hour: 7, pv: 22177, uv: 1296
hour: 8, pv: 28156, uv: 1712
hour: 9, pv: 32695, uv: 1827
hour: 10, pv: 32631, uv: 1957
hour: 11, pv: 28029, uv: 1819
hour: 12, pv: 30058, uv: 1836
hour: 13, pv: 33136, uv: 1832
hour: 14, pv: 29840, uv: 1639
hour: 15, pv: 29744, uv: 1662
hour: 16, pv: 29872, uv: 1678
hour: 17, pv: 25570, uv: 1586
hour: 18, pv: 27065, uv: 1573
hour: 19, pv: 35238, uv: 1799
hour: 20, pv: 43206, uv: 2103
hour: 21, pv: 51259, uv: 2287
hour: 22, pv: 51337, uv: 2178
hour: 23, pv: 46576, uv: 1728
