hour: 0, pv: 517404, uv: 5786
hour: 1, pv: 267682, uv: 3780
hour: 2, pv: 147090, uv: 2532
hour: 3, pv: 98516, uv: 1937
hour: 4, pv: 80487, uv: 1765
hour: 5, pv: 88296, uv: 2030
hour: 6, pv: 158798, uv: 3564
hour: 7, pv: 287337, uv: 5722
hour: 8, pv: 396106, uv: 7108
hour: 9, pv: 485951, uv: 7734
hour: 10, pv: 550665, uv: 8139
hour: 11, pv: 526940, uv: 8239
hour: 12, pv: 531957, uv: 8314
hour: 13, pv: 598343, uv: 8352
hour: 14, pv: 594215, uv: 8255
hour: 15, pv: 598849, uv: 8257
hour: 16, pv: 576207, uv: 8320
hour: 17, pv: 505936, uv: 8228
hour: 18, pv: 547383, uv: 8278
hour: 19, pv: 735192, uv: 8538
hour: 20, pv: 935161, uv: 8780
hour: 21, pv: 1090178, uv: 8866
hour: 22, pv: 1088961, uv: 8599
hour: 23, pv: 849252, uv: 7484
