user_id: 100001878, average_rebuy_date: 0
user_id: 100012968, average_rebuy_date: 0
user_id: 100014060, average_rebuy_date: 1
user_id: 100024529, average_rebuy_date: 0
user_id: 100027681, average_rebuy_date: 0
user_id: 10004287, average_rebuy_date: 0
user_id: 100067745, average_rebuy_date: 0
user_id: 100086267, average_rebuy_date: 0
user_id: 100090063, average_rebuy_date: 0
user_id: 100097997, average_rebuy_date: 0
user_id: 100109755, average_rebuy_date: 0
user_id: 100121842, average_rebuy_date: 0
user_id: 100159569, average_rebuy_date: 0
user_id: 100185291, average_rebuy_date: 19
user_id: 100231383, average_rebuy_date: 0
user_id: 10026124, average_rebuy_date: 0
user_id: 100267644, average_rebuy_date: 1
user_id: 10027039, average_rebuy_date: 0
user_id: 100273837, average_rebuy_date: 0
user_id: 100279459, average_rebuy_date: 0
user_id: 100288957, average_rebuy_date: 0
user_id: 100326985, average_rebuy_date: 0
user_id: 100366139, average_rebuy_date: 0
user_id: 100385360, average_rebuy_date: 0
user_id: 100397503, average_rebuy_date: 0
user_id: 100415080, average_rebuy_date: 8
user_id: 100497308, average_rebuy_date: 0
user_id: 100509623, average_rebuy_date: 0
user_id: 100517846, average_rebuy_date: 0
user_id: 100539, average_rebuy_date: 25
user_id: 100559064, average_rebuy_date: 0
user_id: 100570607, average_rebuy_date: 0
user_id: 10064430, average_rebuy_date: 0
user_id: 100644641, average_rebuy_date: 1
user_id: 100674178, average_rebuy_date: 0
user_id: 100684618, average_rebuy_date: 1
user_id: 100690180, average_rebuy_date: 0
user_id: 100742887, average_rebuy_date: 1
user_id: 100757305, average_rebuy_date: 0
user_id: 100816273, average_rebuy_date: 0
user_id: 100833741, average_rebuy_date: 0
user_id: 100853561, average_rebuy_date: 1
user_id: 100862503, average_rebuy_date: 13
user_id: 100870297, average_rebuy_date: 0
user_id: 100871846, average_rebuy_date: 0
user_id: 100874047, average_rebuy_date: 3
user_id: 100875707, average_rebuy_date: 0
user_id: 100917596, average_rebuy_date: 0
user_id: 100929958, average_rebuy_date: 10
user_id: 100968525, average_rebuy_date: 0
user_id: 101050024, average_rebuy_date: 7
user_id: 101061002, average_rebuy_date: 2
user_id: 101122114, average_rebuy_date: 0
user_id: 101190507, average_rebuy_date: 3
user_id: 10120410, average_rebuy_date: 0
user_id: 101256206, average_rebuy_date: 4
user_id: 101256818, average_rebuy_date: 4
user_id: 101257188, average_rebuy_date: 2
user_id: 101287551, average_rebuy_date: 2
user_id: 101304117, average_rebuy_date: 0
user_id: 101305944, average_rebuy_date: 0
user_id: 101361390, average_rebuy_date: 0
user_id: 101435898, average_rebuy_date: 0
user_id: 101437780, average_rebuy_date: 0
user_id: 101456770, average_rebuy_date: 5
user_id: 101461439, average_rebuy_date: 1
user_id: 101466976, average_rebuy_date: 0
user_id: 10149605, average_rebuy_date: 0
user_id: 101504942, average_rebuy_date: 0
user_id: 101508404, average_rebuy_date: 0
user_id: 101532356, average_rebuy_date: 0
user_id: 101534361, average_rebuy_date: 2
user_id: 101538639, average_rebuy_date: 0
user_id: 101560598, average_rebuy_date: 0
user_id: 101601722, average_rebuy_date: 0
user_id: 101615370, average_rebuy_date: 0
user_id: 101664376, average_rebuy_date: 2
user_id: 101698393, average_rebuy_date: 0
